line_number,raw_line,timestamp_raw,parsed_datetime,host,process,pid,event_type,attack_stage,username,source_ip,source_port,command,is_privileged_account,is_suspicious_source,parse_status
3102,Jul 07 13:16:21 backup01 sshd[6130]: pam_unix(sshd:session): session closed for user backup,Jul 07 13:16:21,2026-07-07 13:16:21,backup01,sshd,6130,session_closed,session_activity,backup,,,,True,False,parsed
3103,Jul 07 14:35:46 backup01 sshd[3281]: Accepted password for arun from 198.51.100.24 port 34162 ssh2,Jul 07 14:35:46,2026-07-07 14:35:46,backup01,sshd,3281,accepted_password,possible_successful_access,arun,198.51.100.24,34162,,False,True,parsed
3104,Jul 07 14:36:43 backup01 sshd[4673]: Connection closed by authenticating user arun 198.51.100.26 port 33066 [preauth],Jul 07 14:36:43,2026-07-07 14:36:43,backup01,sshd,4673,preauth_closed,preauth_interruption,arun,198.51.100.26,33066,,False,True,parsed
3105,Jul 07 14:36:49 backup01 sshd[1618]: Failed password for j.maguire from 192.0.2.11 port 31410 ssh2,Jul 07 14:36:49,2026-07-07 14:36:49,backup01,sshd,1618,failed_password,initial_access_attempt,j.maguire,192.0.2.11,31410,,False,True,parsed
3106,Jul 07 14:36:52 backup01 sshd[2496]: Invalid user mysql from 192.0.2.40 port 49862,Jul 07 14:36:52,2026-07-07 14:36:52,backup01,sshd,2496,invalid_user,account_probing,mysql,192.0.2.40,49862,,False,True,parsed
3107,Jul 07 14:36:58 backup01 sshd[3322]: Invalid user admin from 192.0.2.30 port 38432,Jul 07 14:36:58,2026-07-07 14:36:58,backup01,sshd,3322,invalid_user,account_probing,admin,192.0.2.30,38432,,True,True,parsed
3108,Jul 07 14:29:20 backup01 sshd[4296]: pam_unix(sshd:session): session closed for user ops,Jul 07 14:29:20,2026-07-07 14:29:20,backup01,sshd,4296,session_closed,session_activity,ops,,,,True,False,parsed
3109,Jul 07 14:37:21 backup01 sshd[6656]: Accepted password for backup from 192.0.2.20 port 45600 ssh2,Jul 07 14:37:21,2026-07-07 14:37:21,backup01,sshd,6656,accepted_password,possible_successful_access,backup,192.0.2.20,45600,,True,True,parsed
3110,Jul 07 14:37:48 backup01 sshd[4277]: Invalid user service from 192.0.2.30 port 32645,Jul 07 14:37:48,2026-07-07 14:37:48,backup01,sshd,4277,invalid_user,account_probing,service,192.0.2.30,32645,,False,True,parsed
3111,Jul 07 14:37:21 backup01 sshd[7721]: pam_unix(sshd:session): session opened for user backup by (uid=0),Jul 07 14:37:21,2026-07-07 14:37:21,backup01,sshd,7721,session_opened,session_activity,backup,,,,True,False,parsed
3112,Jul 07 14:38:10 backup01 sshd[7260]: Failed password for ops from 192.0.2.30 port 38733 ssh2,Jul 07 14:38:10,2026-07-07 14:38:10,backup01,sshd,7260,failed_password,initial_access_attempt,ops,192.0.2.30,38733,,True,True,parsed
3113,Jul 07 14:38:21 backup01 sshd[9742]: Connection closed by authenticating user arun 192.0.2.40 port 51647 [preauth],Jul 07 14:38:21,2026-07-07 14:38:21,backup01,sshd,9742,preauth_closed,preauth_interruption,arun,192.0.2.40,51647,,False,True,parsed
3114,Jul 07 14:38:22 backup01 sshd[7937]: Accepted password for j.maguire from 198.51.100.24 port 59596 ssh2,Jul 07 14:38:22,2026-07-07 14:38:22,backup01,sshd,7937,accepted_password,possible_successful_access,j.maguire,198.51.100.24,59596,,False,True,parsed
3115,Jul 07 14:38:22 backup01 sshd[8431]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0),Jul 07 14:38:22,2026-07-07 14:38:22,backup01,sshd,8431,session_opened,session_activity,j.maguire,,,,False,False,parsed
3116,Jul 07 14:37:21 backup01 sudo:    backup : TTY=pts/4 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,Jul 07 14:37:21,2026-07-07 14:37:21,backup01,sudo,,sudo_command,post_login_privileged_activity,backup,,,/usr/bin/journalctl -n 50,True,False,parsed
3117,Jul 07 14:38:46 backup01 sshd[1375]: Invalid user pi from 192.0.2.10 port 50338,Jul 07 14:38:46,2026-07-07 14:38:46,backup01,sshd,1375,invalid_user,account_probing,pi,192.0.2.10,50338,,False,True,parsed
3118,Jul 07 14:40:06 backup01 sshd[2858]: Accepted password for arun from 192.0.2.30 port 31915 ssh2,Jul 07 14:40:06,2026-07-07 14:40:06,backup01,sshd,2858,accepted_password,possible_successful_access,arun,192.0.2.30,31915,,False,True,parsed
3119,Jul 07 14:40:06 backup01 sshd[1709]: pam_unix(sshd:session): session opened for user arun by (uid=0),Jul 07 14:40:06,2026-07-07 14:40:06,backup01,sshd,1709,session_opened,session_activity,arun,,,,False,False,parsed
3120,Jul 07 14:40:41 backup01 sshd[8920]: Failed password for arun from 192.0.2.40 port 48304 ssh2,Jul 07 14:40:41,2026-07-07 14:40:41,backup01,sshd,8920,failed_password,initial_access_attempt,arun,192.0.2.40,48304,,False,True,parsed
3121,Jul 07 14:42:12 backup01 sshd[7654]: Invalid user postgres from 198.51.100.25 port 54048,Jul 07 14:42:12,2026-07-07 14:42:12,backup01,sshd,7654,invalid_user,account_probing,postgres,198.51.100.25,54048,,False,True,parsed
3122,Jul 07 14:42:18 backup01 sshd[8885]: Connection closed by authenticating user j.singer 198.51.100.25 port 43001 [preauth],Jul 07 14:42:18,2026-07-07 14:42:18,backup01,sshd,8885,preauth_closed,preauth_interruption,j.singer,198.51.100.25,43001,,False,True,parsed
3123,Jul 07 13:32:50 backup01 sshd[4763]: pam_unix(sshd:session): session closed for user j.singer,Jul 07 13:32:50,2026-07-07 13:32:50,backup01,sshd,4763,session_closed,session_activity,j.singer,,,,False,False,parsed
3124,Jul 07 14:46:07 backup01 sshd[3332]: Accepted password for j.maguire from 192.0.2.11 port 34904 ssh2,Jul 07 14:46:07,2026-07-07 14:46:07,backup01,sshd,3332,accepted_password,possible_successful_access,j.maguire,192.0.2.11,34904,,False,True,parsed
3125,Jul 07 14:46:07 backup01 sshd[5206]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0),Jul 07 14:46:07,2026-07-07 14:46:07,backup01,sshd,5206,session_opened,session_activity,j.maguire,,,,False,False,parsed
3126,Jul 07 14:46:16 backup01 sshd[9262]: Invalid user pi from 192.0.2.20 port 38614,Jul 07 14:46:16,2026-07-07 14:46:16,backup01,sshd,9262,invalid_user,account_probing,pi,192.0.2.20,38614,,False,True,parsed
3127,Jul 07 14:48:21 backup01 sshd[5682]: error: maximum authentication attempts exceeded for backup from 192.0.2.12 port 47563 ssh2 [preauth],Jul 07 14:48:21,2026-07-07 14:48:21,backup01,sshd,5682,max_auth_attempts,brute_force_or_password_spraying,backup,192.0.2.12,47563,,True,True,parsed
3128,Jul 07 14:48:25 backup01 CRON[2840]: pam_unix(cron:session): session opened for user root by (uid=0),Jul 07 14:48:25,2026-07-07 14:48:25,backup01,CRON,2840,cron_session,scheduled_or_background_activity,root,,,,True,False,parsed
3129,Jul 07 14:49:04 backup01 sshd[9227]: Accepted password for j.singer from 192.0.2.20 port 44075 ssh2,Jul 07 14:49:04,2026-07-07 14:49:04,backup01,sshd,9227,accepted_password,possible_successful_access,j.singer,192.0.2.20,44075,,False,True,parsed
3130,Jul 07 14:49:11 backup01 sshd[8482]: Invalid user git from 198.51.100.24 port 47341,Jul 07 14:49:11,2026-07-07 14:49:11,backup01,sshd,8482,invalid_user,account_probing,git,198.51.100.24,47341,,False,True,parsed
3131,Jul 07 14:50:01 backup01 sshd[8260]: Connection closed by authenticating user j.singer 192.0.2.40 port 43607 [preauth],Jul 07 14:50:01,2026-07-07 14:50:01,backup01,sshd,8260,preauth_closed,preauth_interruption,j.singer,192.0.2.40,43607,,False,True,parsed
3132,Jul 07 14:51:12 backup01 sshd[3205]: Connection closed by authenticating user ops 198.51.100.23 port 64240 [preauth],Jul 07 14:51:12,2026-07-07 14:51:12,backup01,sshd,3205,preauth_closed,preauth_interruption,ops,198.51.100.23,64240,,True,True,parsed
3133,Jul 07 14:51:16 backup01 sshd[4644]: Invalid user ftp from 198.51.100.24 port 30368,Jul 07 14:51:16,2026-07-07 14:51:16,backup01,sshd,4644,invalid_user,account_probing,ftp,198.51.100.24,30368,,False,True,parsed
3134,Jul 07 14:51:19 backup01 sshd[6326]: error: maximum authentication attempts exceeded for j.singer from 192.0.2.10 port 37880 ssh2 [preauth],Jul 07 14:51:19,2026-07-07 14:51:19,backup01,sshd,6326,max_auth_attempts,brute_force_or_password_spraying,j.singer,192.0.2.10,37880,,False,True,parsed
3135,Jul 07 14:52:08 backup01 CRON[3896]: pam_unix(cron:session): session opened for user root by (uid=0),Jul 07 14:52:08,2026-07-07 14:52:08,backup01,CRON,3896,cron_session,scheduled_or_background_activity,root,,,,True,False,parsed
3136,Jul 07 14:52:26 backup01 sshd[9769]: Failed password for arun from 198.51.100.25 port 39042 ssh2,Jul 07 14:52:26,2026-07-07 14:52:26,backup01,sshd,9769,failed_password,initial_access_attempt,arun,198.51.100.25,39042,,False,True,parsed
3137,Jul 07 14:52:38 backup01 sshd[6372]: Invalid user temp from 198.51.100.26 port 61380,Jul 07 14:52:38,2026-07-07 14:52:38,backup01,sshd,6372,invalid_user,account_probing,temp,198.51.100.26,61380,,False,True,parsed
3138,Jul 07 14:53:38 backup01 sshd[7031]: error: maximum authentication attempts exceeded for j.maguire from 192.0.2.12 port 31034 ssh2 [preauth],Jul 07 14:53:38,2026-07-07 14:53:38,backup01,sshd,7031,max_auth_attempts,brute_force_or_password_spraying,j.maguire,192.0.2.12,31034,,False,True,parsed
3139,Jul 07 14:54:02 backup01 CRON[1823]: pam_unix(cron:session): session opened for user root by (uid=0),Jul 07 14:54:02,2026-07-07 14:54:02,backup01,CRON,1823,cron_session,scheduled_or_background_activity,root,,,,True,False,parsed
3140,Jul 07 14:59:34 backup01 sshd[8234]: Failed password for j.maguire from 198.51.100.26 port 47493 ssh2,Jul 07 14:59:34,2026-07-07 14:59:34,backup01,sshd,8234,failed_password,initial_access_attempt,j.maguire,198.51.100.26,47493,,False,True,parsed
3141,Jul 07 15:00:08 backup01 sshd[8442]: Connection closed by authenticating user j.singer 192.0.2.30 port 48561 [preauth],Jul 07 15:00:08,2026-07-07 15:00:08,backup01,sshd,8442,preauth_closed,preauth_interruption,j.singer,192.0.2.30,48561,,False,True,parsed
3142,Jul 07 15:01:07 backup01 sshd[6184]: Accepted password for j.maguire from 192.0.2.21 port 48306 ssh2,Jul 07 15:01:07,2026-07-07 15:01:07,backup01,sshd,6184,accepted_password,possible_successful_access,j.maguire,192.0.2.21,48306,,False,True,parsed
3143,Jul 07 15:01:07 backup01 sshd[7457]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0),Jul 07 15:01:07,2026-07-07 15:01:07,backup01,sshd,7457,session_opened,session_activity,j.maguire,,,,False,False,parsed
3144,Jul 07 15:01:35 backup01 sshd[7552]: Failed password for ops from 198.51.100.23 port 53098 ssh2,Jul 07 15:01:35,2026-07-07 15:01:35,backup01,sshd,7552,failed_password,initial_access_attempt,ops,198.51.100.23,53098,,True,True,parsed
3145,Jul 07 15:03:40 backup01 sshd[1804]: Failed password for ops from 198.51.100.23 port 39212 ssh2,Jul 07 15:03:40,2026-07-07 15:03:40,backup01,sshd,1804,failed_password,initial_access_attempt,ops,198.51.100.23,39212,,True,True,parsed
3146,Jul 07 14:16:03 backup01 sshd[3411]: pam_unix(sshd:session): session closed for user j.maguire,Jul 07 14:16:03,2026-07-07 14:16:03,backup01,sshd,3411,session_closed,session_activity,j.maguire,,,,False,False,parsed
3147,Jul 07 14:10:30 backup01 sshd[5217]: pam_unix(sshd:session): session closed for user backup,Jul 07 14:10:30,2026-07-07 14:10:30,backup01,sshd,5217,session_closed,session_activity,backup,,,,True,False,parsed
3148,Jul 07 15:04:38 backup01 sshd[2327]: Connection closed by authenticating user j.singer 192.0.2.11 port 31081 [preauth],Jul 07 15:04:38,2026-07-07 15:04:38,backup01,sshd,2327,preauth_closed,preauth_interruption,j.singer,192.0.2.11,31081,,False,True,parsed
3149,Jul 07 15:06:57 backup01 sshd[8452]: Connection closed by authenticating user j.maguire 192.0.2.40 port 41142 [preauth],Jul 07 15:06:57,2026-07-07 15:06:57,backup01,sshd,8452,preauth_closed,preauth_interruption,j.maguire,192.0.2.40,41142,,False,True,parsed
3150,Jul 07 15:07:15 backup01 sshd[2795]: Invalid user demo from 192.0.2.10 port 35091,Jul 07 15:07:15,2026-07-07 15:07:15,backup01,sshd,2795,invalid_user,account_probing,demo,192.0.2.10,35091,,False,True,parsed
3151,Jul 07 15:09:42 backup01 sshd[7436]: Invalid user service from 198.51.100.24 port 37750,Jul 07 15:09:42,2026-07-07 15:09:42,backup01,sshd,7436,invalid_user,account_probing,service,198.51.100.24,37750,,False,True,parsed
3152,Jul 07 15:09:58 backup01 sshd[1796]: Accepted password for arun from 192.0.2.21 port 47049 ssh2,Jul 07 15:09:58,2026-07-07 15:09:58,backup01,sshd,1796,accepted_password,possible_successful_access,arun,192.0.2.21,47049,,False,True,parsed
3153,Jul 07 15:09:58 backup01 sshd[7290]: pam_unix(sshd:session): session opened for user arun by (uid=0),Jul 07 15:09:58,2026-07-07 15:09:58,backup01,sshd,7290,session_opened,session_activity,arun,,,,False,False,parsed
3154,Jul 07 15:11:11 backup01 sshd[7430]: Invalid user manager from 192.0.2.31 port 45774,Jul 07 15:11:11,2026-07-07 15:11:11,backup01,sshd,7430,invalid_user,account_probing,manager,192.0.2.31,45774,,False,True,parsed
3155,Jul 07 15:11:43 backup01 sshd[3070]: Accepted password for backup from 192.0.2.20 port 44034 ssh2,Jul 07 15:11:43,2026-07-07 15:11:43,backup01,sshd,3070,accepted_password,possible_successful_access,backup,192.0.2.20,44034,,True,True,parsed
3156,Jul 07 14:37:21 backup01 sshd[5485]: pam_unix(sshd:session): session closed for user backup,Jul 07 14:37:21,2026-07-07 14:37:21,backup01,sshd,5485,session_closed,session_activity,backup,,,,True,False,parsed
3157,Jul 07 15:14:18 backup01 sshd[8992]: Accepted password for j.maguire from 198.51.100.26 port 46067 ssh2,Jul 07 15:14:18,2026-07-07 15:14:18,backup01,sshd,8992,accepted_password,possible_successful_access,j.maguire,198.51.100.26,46067,,False,True,parsed
3158,Jul 07 15:14:40 backup01 CRON[6409]: pam_unix(cron:session): session opened for user root by (uid=0),Jul 07 15:14:40,2026-07-07 15:14:40,backup01,CRON,6409,cron_session,scheduled_or_background_activity,root,,,,True,False,parsed
3159,Jul 07 15:14:18 backup01 sshd[1681]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0),Jul 07 15:14:18,2026-07-07 15:14:18,backup01,sshd,1681,session_opened,session_activity,j.maguire,,,,False,False,parsed
3160,Jul 07 15:14:18 backup01 sudo:    j.maguire : TTY=pts/1 ; PWD=/home/j.maguire ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,Jul 07 15:14:18,2026-07-07 15:14:18,backup01,sudo,,sudo_command,post_login_privileged_activity,j.maguire,,,/usr/bin/systemctl restart apache2,False,False,parsed
3161,Jul 07 15:14:53 backup01 sshd[1476]: Failed password for ops from 192.0.2.40 port 58709 ssh2,Jul 07 15:14:53,2026-07-07 15:14:53,backup01,sshd,1476,failed_password,initial_access_attempt,ops,192.0.2.40,58709,,True,True,parsed
3162,Jul 07 15:18:14 backup01 sshd[7736]: Invalid user guest from 192.0.2.11 port 64243,Jul 07 15:18:14,2026-07-07 15:18:14,backup01,sshd,7736,invalid_user,account_probing,guest,192.0.2.11,64243,,False,True,parsed
3163,Jul 07 15:18:21 backup01 sshd[6180]: Failed password for j.maguire from 192.0.2.40 port 33395 ssh2,Jul 07 15:18:21,2026-07-07 15:18:21,backup01,sshd,6180,failed_password,initial_access_attempt,j.maguire,192.0.2.40,33395,,False,True,parsed
3164,Jul 07 15:19:30 backup01 sshd[9155]: Accepted password for j.singer from 192.0.2.11 port 60708 ssh2,Jul 07 15:19:30,2026-07-07 15:19:30,backup01,sshd,9155,accepted_password,possible_successful_access,j.singer,192.0.2.11,60708,,False,True,parsed
3165,Jul 07 15:19:38 backup01 sshd[7478]: Accepted password for backup from 198.51.100.23 port 51563 ssh2,Jul 07 15:19:38,2026-07-07 15:19:38,backup01,sshd,7478,accepted_password,possible_successful_access,backup,198.51.100.23,51563,,True,True,parsed
3166,Jul 07 15:19:30 backup01 sshd[2852]: pam_unix(sshd:session): session opened for user j.singer by (uid=0),Jul 07 15:19:30,2026-07-07 15:19:30,backup01,sshd,2852,session_opened,session_activity,j.singer,,,,False,False,parsed
3167,Jul 07 15:20:17 backup01 sshd[8495]: Connection closed by authenticating user backup 192.0.2.12 port 45359 [preauth],Jul 07 15:20:17,2026-07-07 15:20:17,backup01,sshd,8495,preauth_closed,preauth_interruption,backup,192.0.2.12,45359,,True,True,parsed
3168,Jul 07 15:20:34 backup01 sshd[6825]: Failed password for ops from 198.51.100.26 port 61962 ssh2,Jul 07 15:20:34,2026-07-07 15:20:34,backup01,sshd,6825,failed_password,initial_access_attempt,ops,198.51.100.26,61962,,True,True,parsed
3169,Jul 07 15:21:46 backup01 sshd[8955]: Accepted password for j.maguire from 192.0.2.20 port 54815 ssh2,Jul 07 15:21:46,2026-07-07 15:21:46,backup01,sshd,8955,accepted_password,possible_successful_access,j.maguire,192.0.2.20,54815,,False,True,parsed
3170,Jul 07 15:21:46 backup01 sshd[6755]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0),Jul 07 15:21:46,2026-07-07 15:21:46,backup01,sshd,6755,session_opened,session_activity,j.maguire,,,,False,False,parsed
3171,Jul 07 15:22:21 backup01 sshd[2183]: Failed password for j.singer from 198.51.100.24 port 38987 ssh2,Jul 07 15:22:21,2026-07-07 15:22:21,backup01,sshd,2183,failed_password,initial_access_attempt,j.singer,198.51.100.24,38987,,False,True,parsed
3172,Jul 07 15:22:46 backup01 sshd[3259]: Connection closed by authenticating user j.singer 198.51.100.24 port 60982 [preauth],Jul 07 15:22:46,2026-07-07 15:22:46,backup01,sshd,3259,preauth_closed,preauth_interruption,j.singer,198.51.100.24,60982,,False,True,parsed
3173,Jul 07 15:23:50 backup01 sshd[5701]: Accepted password for arun from 192.0.2.31 port 38653 ssh2,Jul 07 15:23:50,2026-07-07 15:23:50,backup01,sshd,5701,accepted_password,possible_successful_access,arun,192.0.2.31,38653,,False,True,parsed
3174,Jul 07 15:24:05 backup01 sshd[1245]: Accepted password for arun from 192.0.2.11 port 34377 ssh2,Jul 07 15:24:05,2026-07-07 15:24:05,backup01,sshd,1245,accepted_password,possible_successful_access,arun,192.0.2.11,34377,,False,True,parsed
3175,Jul 07 15:23:50 backup01 sshd[5095]: pam_unix(sshd:session): session opened for user arun by (uid=0),Jul 07 15:23:50,2026-07-07 15:23:50,backup01,sshd,5095,session_opened,session_activity,arun,,,,False,False,parsed
3176,Jul 07 15:24:05 backup01 sshd[9186]: pam_unix(sshd:session): session opened for user arun by (uid=0),Jul 07 15:24:05,2026-07-07 15:24:05,backup01,sshd,9186,session_opened,session_activity,arun,,,,False,False,parsed
3177,Jul 07 15:14:18 backup01 sshd[1861]: pam_unix(sshd:session): session closed for user j.maguire,Jul 07 15:14:18,2026-07-07 15:14:18,backup01,sshd,1861,session_closed,session_activity,j.maguire,,,,False,False,parsed
3178,Jul 07 15:24:24 backup01 CRON[2650]: pam_unix(cron:session): session opened for user root by (uid=0),Jul 07 15:24:24,2026-07-07 15:24:24,backup01,CRON,2650,cron_session,scheduled_or_background_activity,root,,,,True,False,parsed
3179,Jul 07 15:24:29 backup01 sshd[9403]: Accepted password for j.maguire from 192.0.2.11 port 48083 ssh2,Jul 07 15:24:29,2026-07-07 15:24:29,backup01,sshd,9403,accepted_password,possible_successful_access,j.maguire,192.0.2.11,48083,,False,True,parsed
3180,Jul 07 15:24:29 backup01 sshd[2851]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0),Jul 07 15:24:29,2026-07-07 15:24:29,backup01,sshd,2851,session_opened,session_activity,j.maguire,,,,False,False,parsed
3181,Jul 07 15:25:42 backup01 sshd[4819]: Invalid user mysql from 192.0.2.30 port 54181,Jul 07 15:25:42,2026-07-07 15:25:42,backup01,sshd,4819,invalid_user,account_probing,mysql,192.0.2.30,54181,,False,True,parsed
3182,Jul 07 15:26:42 backup01 sshd[7648]: Connection closed by authenticating user ops 192.0.2.12 port 48279 [preauth],Jul 07 15:26:42,2026-07-07 15:26:42,backup01,sshd,7648,preauth_closed,preauth_interruption,ops,192.0.2.12,48279,,True,True,parsed
3183,Jul 07 15:27:11 backup01 sshd[3166]: Connection closed by authenticating user arun 198.51.100.25 port 53121 [preauth],Jul 07 15:27:11,2026-07-07 15:27:11,backup01,sshd,3166,preauth_closed,preauth_interruption,arun,198.51.100.25,53121,,False,True,parsed
3184,Jul 07 15:27:20 backup01 sshd[5552]: Invalid user git from 198.51.100.25 port 60764,Jul 07 15:27:20,2026-07-07 15:27:20,backup01,sshd,5552,invalid_user,account_probing,git,198.51.100.25,60764,,False,True,parsed
3185,Jul 07 15:27:38 backup01 sshd[3865]: error: maximum authentication attempts exceeded for backup from 192.0.2.40 port 47191 ssh2 [preauth],Jul 07 15:27:38,2026-07-07 15:27:38,backup01,sshd,3865,max_auth_attempts,brute_force_or_password_spraying,backup,192.0.2.40,47191,,True,True,parsed
3186,Jul 07 15:28:50 backup01 sshd[2908]: error: maximum authentication attempts exceeded for backup from 192.0.2.31 port 44020 ssh2 [preauth],Jul 07 15:28:50,2026-07-07 15:28:50,backup01,sshd,2908,max_auth_attempts,brute_force_or_password_spraying,backup,192.0.2.31,44020,,True,True,parsed
3187,Jul 07 15:28:52 backup01 sshd[3768]: Invalid user oracle from 192.0.2.12 port 55611,Jul 07 15:28:52,2026-07-07 15:28:52,backup01,sshd,3768,invalid_user,account_probing,oracle,192.0.2.12,55611,,False,True,parsed
3188,Jul 07 15:29:12 backup01 sshd[5433]: Connection closed by authenticating user j.singer 198.51.100.23 port 49261 [preauth],Jul 07 15:29:12,2026-07-07 15:29:12,backup01,sshd,5433,preauth_closed,preauth_interruption,j.singer,198.51.100.23,49261,,False,True,parsed
3189,Jul 07 15:31:14 backup01 CRON[4276]: pam_unix(cron:session): session opened for user root by (uid=0),Jul 07 15:31:14,2026-07-07 15:31:14,backup01,CRON,4276,cron_session,scheduled_or_background_activity,root,,,,True,False,parsed
3190,Jul 07 15:31:48 backup01 sshd[1351]: Accepted password for arun from 198.51.100.26 port 43582 ssh2,Jul 07 15:31:48,2026-07-07 15:31:48,backup01,sshd,1351,accepted_password,possible_successful_access,arun,198.51.100.26,43582,,False,True,parsed
3191,Jul 07 15:32:17 backup01 sshd[4595]: Invalid user manager from 192.0.2.10 port 50265,Jul 07 15:32:17,2026-07-07 15:32:17,backup01,sshd,4595,invalid_user,account_probing,manager,192.0.2.10,50265,,False,True,parsed
3192,Jul 07 15:32:29 backup01 sshd[7710]: Accepted password for ops from 198.51.100.26 port 37351 ssh2,Jul 07 15:32:29,2026-07-07 15:32:29,backup01,sshd,7710,accepted_password,possible_successful_access,ops,198.51.100.26,37351,,True,True,parsed
3193,Jul 07 15:32:29 backup01 sshd[7500]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 07 15:32:29,2026-07-07 15:32:29,backup01,sshd,7500,session_opened,session_activity,ops,,,,True,False,parsed
3194,Jul 07 15:32:49 backup01 sshd[4681]: Invalid user sysadmin from 198.51.100.25 port 56594,Jul 07 15:32:49,2026-07-07 15:32:49,backup01,sshd,4681,invalid_user,account_probing,sysadmin,198.51.100.25,56594,,True,True,parsed
3195,Jul 07 15:35:10 backup01 sshd[1618]: Accepted password for j.singer from 192.0.2.20 port 55974 ssh2,Jul 07 15:35:10,2026-07-07 15:35:10,backup01,sshd,1618,accepted_password,possible_successful_access,j.singer,192.0.2.20,55974,,False,True,parsed
3196,Jul 07 15:35:10 backup01 sshd[9130]: pam_unix(sshd:session): session opened for user j.singer by (uid=0),Jul 07 15:35:10,2026-07-07 15:35:10,backup01,sshd,9130,session_opened,session_activity,j.singer,,,,False,False,parsed
3197,Jul 07 14:40:06 backup01 sshd[2294]: pam_unix(sshd:session): session closed for user arun,Jul 07 14:40:06,2026-07-07 14:40:06,backup01,sshd,2294,session_closed,session_activity,arun,,,,False,False,parsed
3198,Jul 07 15:35:10 backup01 sudo:    j.singer : TTY=pts/4 ; PWD=/home/j.singer ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,Jul 07 15:35:10,2026-07-07 15:35:10,backup01,sudo,,sudo_command,post_login_privileged_activity,j.singer,,,/usr/bin/journalctl -n 50,False,False,parsed
3199,Jul 07 15:37:31 backup01 sshd[7742]: error: maximum authentication attempts exceeded for j.maguire from 192.0.2.30 port 50124 ssh2 [preauth],Jul 07 15:37:31,2026-07-07 15:37:31,backup01,sshd,7742,max_auth_attempts,brute_force_or_password_spraying,j.maguire,192.0.2.30,50124,,False,True,parsed
3200,Jul 07 15:38:25 backup01 sshd[3424]: Accepted password for j.singer from 192.0.2.40 port 46927 ssh2,Jul 07 15:38:25,2026-07-07 15:38:25,backup01,sshd,3424,accepted_password,possible_successful_access,j.singer,192.0.2.40,46927,,False,True,parsed
3201,Jul 07 15:38:25 backup01 sshd[4346]: pam_unix(sshd:session): session opened for user j.singer by (uid=0),Jul 07 15:38:25,2026-07-07 15:38:25,backup01,sshd,4346,session_opened,session_activity,j.singer,,,,False,False,parsed
3202,Jul 07 15:38:43 backup01 sshd[4379]: Invalid user sysadmin from 198.51.100.24 port 53778,Jul 07 15:38:43,2026-07-07 15:38:43,backup01,sshd,4379,invalid_user,account_probing,sysadmin,198.51.100.24,53778,,True,True,parsed
3203,Jul 07 15:40:18 backup01 sshd[2321]: Accepted password for arun from 198.51.100.25 port 57420 ssh2,Jul 07 15:40:18,2026-07-07 15:40:18,backup01,sshd,2321,accepted_password,possible_successful_access,arun,198.51.100.25,57420,,False,True,parsed
3204,Jul 07 15:41:04 backup01 sshd[7534]: Failed password for arun from 192.0.2.31 port 46878 ssh2,Jul 07 15:41:04,2026-07-07 15:41:04,backup01,sshd,7534,failed_password,initial_access_attempt,arun,192.0.2.31,46878,,False,True,parsed
3205,Jul 07 15:41:31 backup01 sshd[3261]: error: maximum authentication attempts exceeded for j.maguire from 192.0.2.21 port 53840 ssh2 [preauth],Jul 07 15:41:31,2026-07-07 15:41:31,backup01,sshd,3261,max_auth_attempts,brute_force_or_password_spraying,j.maguire,192.0.2.21,53840,,False,True,parsed
3206,Jul 07 15:41:33 backup01 sshd[6901]: Accepted password for ops from 192.0.2.21 port 62844 ssh2,Jul 07 15:41:33,2026-07-07 15:41:33,backup01,sshd,6901,accepted_password,possible_successful_access,ops,192.0.2.21,62844,,True,True,parsed
3207,Jul 07 15:41:33 backup01 sshd[3334]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 07 15:41:33,2026-07-07 15:41:33,backup01,sshd,3334,session_opened,session_activity,ops,,,,True,False,parsed
3208,Jul 07 15:42:07 backup01 CRON[2884]: pam_unix(cron:session): session opened for user root by (uid=0),Jul 07 15:42:07,2026-07-07 15:42:07,backup01,CRON,2884,cron_session,scheduled_or_background_activity,root,,,,True,False,parsed
3209,Jul 07 15:42:21 backup01 sshd[4864]: Connection closed by authenticating user arun 198.51.100.23 port 51956 [preauth],Jul 07 15:42:21,2026-07-07 15:42:21,backup01,sshd,4864,preauth_closed,preauth_interruption,arun,198.51.100.23,51956,,False,True,parsed
3210,Jul 07 15:42:35 backup01 sshd[2531]: Accepted password for j.singer from 192.0.2.21 port 39247 ssh2,Jul 07 15:42:35,2026-07-07 15:42:35,backup01,sshd,2531,accepted_password,possible_successful_access,j.singer,192.0.2.21,39247,,False,True,parsed
